,home_team,away_team,home_score,away_score,home_penalty,away_penalty,total_goals,Winner,Stage,Year,Date,Host,Venue,Attendance,h_red_card_count,a_red_card_count,h_yellow_red_card_count,a_yellow_red_card_count,h_yellow_card_long_count,a_yellow_card_long_count
32,Cameroon,Serbia,3,3,,,6,Draw,Fase de Grupos,2022,2022-11-28,Qatar,"Al Janoub Stadium, Al Wakrah",39789,0,0,0,0,2,2
33,Korea Republic,Ghana,2,3,,,5,Ghana,Fase de Grupos,2022,2022-11-28,Qatar,"Education City Stadium, Doha",43983,1,0,0,0,2,2
34,Brazil,Switzerland,1,0,,,1,Brazil,Fase de Grupos,2022,2022-11-28,Qatar,"Stadium 974, Doha",43649,0,0,0,0,1,1
35,Portugal,Uruguay,2,0,,,2,Portugal,Fase de Grupos,2022,2022-11-28,Qatar,"Lusail Iconic Stadium, Lusail",88668,0,0,0,0,3,2
36,Japan,Costa Rica,0,1,,,1,Costa Rica,Fase de Grupos,2022,2022-11-27,Qatar,"Ahmed bin Ali Stadium, Umm al-Afā'ī",41479,0,0,0,0,3,3
37,Belgium,Morocco,0,2,,,2,Morocco,Fase de Grupos,2022,2022-11-27,Qatar,"Al Thumama Stadium, ath-Thumāma",43738,0,0,0,0,1,1
38,Croatia,Canada,4,1,,,5,Croatia,Fase de Grupos,2022,2022-11-27,Qatar,"Khalifa International Stadium, Doha",44374,0,0,0,0,2,2
39,Spain,Germany,1,1,,,2,Draw,Fase de Grupos,2022,2022-11-27,Qatar,"Al Bayt Stadium, Al Khor",68895,0,0,0,0,1,3
40,Tunisia,Australia,0,1,,,1,Australia,Fase de Grupos,2022,2022-11-26,Qatar,"Al Janoub Stadium, Al Wakrah",41823,0,0,0,0,3,0
41,Poland,Saudi Arabia,2,0,,,2,Poland,Fase de Grupos,2022,2022-11-26,Qatar,"Education City Stadium, Doha",44259,0,0,0,0,3,2
42,France,Denmark,2,1,,,3,France,Fase de Grupos,2022,2022-11-26,Qatar,"Stadium 974, Doha",42860,0,0,0,0,1,2
