Team,Year,Stage,Era,matches_played,wins,draws,losses,goals_scored,goals_conceded,win_rate,goal_difference,avg_goals_scored,avg_goals_conceded,is_champion_year
United States,1934,Oitavas de Final,Classic Era,1,0,0,1,1,7,0.0,-6,1.0,7.0,0
United States,1950,Fase de Grupos,Classic Era,3,1,0,2,4,8,0.3333333333333333,-4,1.3333333333333333,2.6666666666666665,0
United States,1990,Fase de Grupos,Modern Era,3,0,0,3,2,8,0.0,-6,0.6666666666666666,2.6666666666666665,0
United States,1994,Fase de Grupos,Modern Era,3,1,1,1,3,3,0.3333333333333333,0,1.0,1.0,0
United States,1994,Oitavas de Final,Modern Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
United States,1998,Fase de Grupos,Modern Era,3,0,0,3,1,5,0.0,-4,0.3333333333333333,1.6666666666666667,0
United States,2002,Fase de Grupos,Modern Era,3,1,1,1,5,6,0.3333333333333333,-1,1.6666666666666667,2.0,0
United States,2002,Oitavas de Final,Modern Era,1,1,0,0,2,0,1.0,2,2.0,0.0,0
United States,2002,Quartas de Final,Modern Era,1,0,0,1,0,1,0.0,-1,0.0,1.0,0
United States,2006,Fase de Grupos,Contemporary Era,3,0,1,2,2,6,0.0,-4,0.6666666666666666,2.0,0
United States,2010,Fase de Grupos,Contemporary Era,3,1,2,0,4,3,0.3333333333333333,1,1.3333333333333333,1.0,0
United States,2010,Oitavas de Final,Contemporary Era,1,0,0,1,1,2,0.0,-1,1.0,2.0,0
United States,2014,Fase de Grupos,Contemporary Era,3,1,1,1,4,4,0.3333333333333333,0,1.3333333333333333,1.3333333333333333,0
United States,2014,Oitavas de Final,Contemporary Era,1,0,0,1,1,2,0.0,-1,1.0,2.0,0
United States,2022,Fase de Grupos,Contemporary Era,3,1,2,0,2,1,0.3333333333333333,1,0.6666666666666666,0.3333333333333333,0
United States,2022,Oitavas de Final,Contemporary Era,1,0,0,1,1,3,0.0,-2,1.0,3.0,0
Uruguay,1930,Fase de Grupos,Classic Era,2,2,0,0,5,0,1.0,5,2.5,0.0,1
Uruguay,1930,Final,Classic Era,1,1,0,0,4,2,1.0,2,4.0,2.0,1
Uruguay,1930,Semi-finais,Classic Era,1,1,0,0,6,1,1.0,5,6.0,1.0,1
Uruguay,1950,Fase de Grupos,Classic Era,4,3,1,0,15,5,0.75,10,3.75,1.25,1
Uruguay,1954,Fase de Grupos,Classic Era,2,2,0,0,9,0,1.0,9,4.5,0.0,0
Uruguay,1954,Quartas de Final,Classic Era,1,1,0,0,4,2,1.0,2,4.0,2.0,0
Uruguay,1954,Semi-finais,Classic Era,1,0,0,1,2,4,0.0,-2,2.0,4.0,0
Uruguay,1954,Terceiro Lugar,Classic Era,1,0,0,1,1,3,0.0,-2,1.0,3.0,0
Uruguay,1962,Fase de Grupos,Classic Era,3,1,0,2,4,6,0.3333333333333333,-2,1.3333333333333333,2.0,0
Uruguay,1966,Fase de Grupos,Classic Era,3,1,2,0,2,1,0.3333333333333333,1,0.6666666666666666,0.3333333333333333,0
Uruguay,1966,Quartas de Final,Classic Era,1,0,0,1,0,4,0.0,-4,0.0,4.0,0
Uruguay,1970,Fase de Grupos,Classic Era,3,1,1,1,2,1,0.3333333333333333,1,0.6666666666666666,0.3333333333333333,0
Uruguay,1970,Quartas de Final,Classic Era,1,1,0,0,1,0,1.0,1,1.0,0.0,0
Uruguay,1970,Semi-finais,Classic Era,1,0,0,1,1,3,0.0,-2,1.0,3.0,0
