Team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_yellow_cards,total_red_cards,knockout_matches,knockout_wins,win_rate,goal_difference,avg_goals_scored,avg_goals_conceded,knockout_win_rate,discipline_score,discipline_per_match,gd_per_match,titles,is_champion
Jamaica,3,1,0,2,3,9,5,1,0,0,0.3333333333333333,-6,1.0,3.0,0.0,7,2.3333333333333335,-2.0,0,0
Japan,25,7,4,14,25,33,42,0,4,0,0.28,-8,1.0,1.32,0.0,42,1.68,-0.32,0,0
Korea DPR,7,1,1,5,6,21,2,0,1,0,0.14285714285714285,-15,0.8571428571428571,3.0,0.0,2,0.2857142857142857,-2.142857142857143,0,0
Korea Republic,38,8,9,21,39,78,78,3,6,2,0.21052631578947367,-39,1.0263157894736843,2.0526315789473686,0.3333333333333333,84,2.210526315789474,-1.0263157894736843,0,0
Kuwait,3,0,1,2,2,6,3,0,0,0,0.0,-4,0.6666666666666666,2.0,0.0,3,1.0,-1.3333333333333333,0,0
Mexico,60,17,13,30,62,101,86,6,10,1,0.2833333333333333,-39,1.0333333333333334,1.6833333333333333,0.1,98,1.6333333333333333,-0.65,0,0
Morocco,23,6,6,11,20,27,35,1,5,2,0.2608695652173913,-7,0.8695652173913043,1.173913043478261,0.4,37,1.608695652173913,-0.30434782608695654,0,0
Netherlands,55,31,10,14,96,52,105,8,22,10,0.5636363636363636,44,1.7454545454545454,0.9454545454545454,0.45454545454545453,121,2.2,0.8,0,0
New Zealand,6,0,3,3,4,14,6,0,0,0,0.0,-10,0.6666666666666666,2.3333333333333335,0.0,6,1.0,-1.6666666666666667,0,0
Nigeria,21,6,3,12,23,30,31,0,3,0,0.2857142857142857,-7,1.0952380952380953,1.4285714285714286,0.0,31,1.4761904761904763,-0.3333333333333333,0,0
Northern Ireland,13,3,5,5,13,23,9,1,1,0,0.23076923076923078,-10,1.0,1.7692307692307692,0.0,11,0.8461538461538461,-0.7692307692307693,0,0
Norway,8,2,3,3,7,8,13,0,2,0,0.25,-1,0.875,1.0,0.0,13,1.625,-0.125,0,0
Panama,3,0,0,3,2,11,11,0,0,0,0.0,-9,0.6666666666666666,3.6666666666666665,0.0,11,3.6666666666666665,-3.0,0,0
Paraguay,27,8,9,10,30,38,40,2,5,1,0.2962962962962963,-8,1.1111111111111112,1.4074074074074074,0.2,44,1.6296296296296295,-0.2962962962962963,0,0
Peru,18,5,3,10,21,33,14,1,1,0,0.2777777777777778,-12,1.1666666666666667,1.8333333333333333,0.0,16,0.8888888888888888,-0.6666666666666666,0,0
Poland,38,17,6,15,49,50,51,1,6,2,0.4473684210526316,-1,1.2894736842105263,1.3157894736842106,0.3333333333333333,53,1.394736842105263,-0.02631578947368421,0,0
Portugal,35,18,5,12,61,41,56,6,11,5,0.5142857142857142,20,1.7428571428571429,1.1714285714285715,0.45454545454545453,68,1.9428571428571428,0.5714285714285714,0,0
Qatar,3,0,0,3,1,7,7,0,0,0,0.0,-6,0.3333333333333333,2.3333333333333335,0.0,7,2.3333333333333335,-2.0,0,0
Republic of Ireland,13,3,6,4,10,10,16,0,4,1,0.23076923076923078,0,0.7692307692307693,0.7692307692307693,0.25,16,1.2307692307692308,0.0,0,0
Romania,21,8,3,10,30,32,32,1,7,1,0.38095238095238093,-2,1.4285714285714286,1.5238095238095237,0.14285714285714285,34,1.619047619047619,-0.09523809523809523,0,0
Russia,45,20,8,17,77,54,46,4,9,2,0.4444444444444444,23,1.711111111111111,1.2,0.2222222222222222,54,1.2,0.5111111111111111,0,0
Saudi Arabia,19,4,2,13,14,44,37,1,1,0,0.21052631578947367,-30,0.7368421052631579,2.3157894736842106,0.0,39,2.0526315789473686,-1.5789473684210527,0,0
Scotland,23,4,7,12,25,41,17,1,0,0,0.17391304347826086,-16,1.0869565217391304,1.7826086956521738,0.0,19,0.8260869565217391,-0.6956521739130435,0,0
Senegal,12,5,3,4,16,17,27,1,3,1,0.4166666666666667,-1,1.3333333333333333,1.4166666666666667,0.3333333333333333,29,2.4166666666666665,-0.08333333333333333,0,0
Serbia,46,18,8,20,69,61,57,3,9,2,0.391304347826087,8,1.5,1.326086956521739,0.2222222222222222,63,1.3695652173913044,0.17391304347826086,0,0
Serbia and Montenegro,3,0,0,3,2,10,11,2,0,0,0.0,-8,0.6666666666666666,3.3333333333333335,0.0,15,5.0,-2.6666666666666665,0,0
Slovakia,4,1,1,2,5,7,10,0,1,0,0.25,-2,1.25,1.75,0.0,10,2.5,-0.5,0,0
Slovenia,6,1,1,4,5,10,18,1,0,0,0.16666666666666666,-5,0.8333333333333334,1.6666666666666667,0.0,20,3.3333333333333335,-0.8333333333333334,0,0
South Africa,9,2,4,3,11,16,22,1,0,0,0.2222222222222222,-5,1.2222222222222223,1.7777777777777777,0.0,24,2.6666666666666665,-0.5555555555555556,0,0
Spain,67,32,12,23,108,75,68,1,17,8,0.47761194029850745,33,1.6119402985074627,1.1194029850746268,0.47058823529411764,70,1.044776119402985,0.4925373134328358,1,1
Sweden,51,20,12,19,80,73,48,3,16,8,0.39215686274509803,7,1.5686274509803921,1.4313725490196079,0.5,54,1.0588235294117647,0.13725490196078433,0,0
Switzerland,41,14,7,20,55,73,48,1,11,2,0.34146341463414637,-18,1.3414634146341464,1.7804878048780488,0.18181818181818182,50,1.2195121951219512,-0.43902439024390244,0,0
Togo,3,0,0,3,1,6,10,1,0,0,0.0,-5,0.3333333333333333,2.0,0.0,12,4.0,-1.6666666666666667,0,0
Trinidad and Tobago,3,0,1,2,0,4,9,1,0,0,0.0,-4,0.0,1.3333333333333333,0.0,11,3.6666666666666665,-1.3333333333333333,0,0
Tunisia,18,3,5,10,14,26,39,1,0,0,0.16666666666666666,-12,0.7777777777777778,1.4444444444444444,0.0,41,2.2777777777777777,-0.6666666666666666,0,0
Türkiye,10,5,1,4,20,17,18,2,4,3,0.5,3,2.0,1.7,0.75,22,2.2,0.3,0,0
Ukraine,5,3,0,2,5,7,12,1,2,1,0.6,-2,1.0,1.4,0.5,14,2.8,-0.4,0,0
United Arab Emirates,3,0,0,3,2,11,6,1,0,0,0.0,-9,0.6666666666666666,3.6666666666666665,0.0,8,2.6666666666666665,-3.0,0,0
United States,37,9,8,20,40,66,55,4,8,1,0.24324324324324326,-26,1.0810810810810811,1.7837837837837838,0.125,63,1.7027027027027026,-0.7027027027027027,0,0
Uruguay,59,26,12,21,89,76,73,10,18,7,0.4406779661016949,13,1.5084745762711864,1.2881355932203389,0.3888888888888889,93,1.576271186440678,0.22033898305084745,2,1
Wales,8,1,4,3,5,10,5,1,1,0,0.125,-5,0.625,1.25,0.0,7,0.875,-0.625,0,0
Zaire,3,0,0,3,0,14,2,1,0,0,0.0,-14,0.0,4.666666666666667,0.0,4,1.3333333333333333,-4.666666666666667,0,0
